Index,Inclination Angle (deg),Right Ascension of Ascending Node (deg),Eccentricity,Argument of Perigee (deg),Mean Anomaly (deg),Mean Motion (revs/day),Orbit Type
1925,0.0088,311.5491,0.000319,144.8502,187.7117,1.002709,S4G
1927,66.0885,322.6071,0.000188,88.9384,271.1843,12.867209,S45
1935,51.9981,83.8857,9.5e-05,330.4716,29.6156,12.622622,S45
1941,1.9402,80.6594,0.000892,321.4108,38.0105,0.992082,S4H
1963,55.5754,48.6158,0.021321,262.7036,94.9275,2.005537,S4A
1974,98.8678,129.4538,0.001325,258.9437,101.0275,14.111745,S42
1981,0.3658,85.4425,0.000195,14.7329,219.8621,1.002713,S4G
1984,0.0177,2.3576,0.000208,91.973,255.5688,1.00269,S4G
2043,52.6543,88.4666,0.01371,201.8906,157.5752,6.472941,S4A
2056,7.0057,68.0825,0.000615,219.68,140.2052,0.996984,S4I
2084,56.8023,355.3965,0.007284,256.6711,102.5143,2.005682,S4A
2130,56.7372,353.7646,0.00391,326.0318,33.717,1.882487,S4A
2146,24.9859,286.307,0.001078,241.056,118.8881,14.417721,S45
2159,53.737,115.3137,0.002418,280.0662,79.6479,1.880931,S4A
2180,24.9696,247.226,0.004327,73.8871,286.6409,14.434438,S45
2206,10.3622,49.9243,0.000256,302.696,57.2441,1.001773,S4I
2217,53.4909,172.7639,0.00049,288.9691,70.9507,1.889465,S4A
2227,89.9532,159.9707,0.000214,58.5032,301.6372,14.759239,S43
2229,28.9979,202.7501,0.000379,293.3568,66.6632,14.596885,S45
2234,17.959,22.895,0.728482,247.108,35.989,0.076173,S4V
2252,1.1498,261.3812,6.1e-05,332.4306,344.9011,1.00277,S4G
2259,94.0098,117.4868,0.000235,63.2132,296.9335,14.908647,S43
2260,98.5194,257.501,7e-05,148.2717,211.854,14.26132,S42
2266,53.5849,168.1764,0.010511,271.1491,87.6227,2.005719,S4A
2280,6.9849,68.3792,0.000369,16.2941,343.642,0.995441,S4I
2284,0.4838,230.4394,0.000155,163.7126,265.4361,1.0027,S4G
2305,6.6791,66.9101,0.000792,322.2256,37.6462,0.994093,S4I
2309,7.5746,66.6674,0.000157,115.4209,43.4589,0.992997,S4I
2312,55.6838,49.914,0.019791,81.1752,281.1239,2.00565,S4A
2336,0.048,140.8525,0.000373,296.7148,175.3172,1.002741,S4G
2346,32.0616,17.4077,0.064143,271.5296,81.1972,12.740289,S45
2359,7.0812,67.8218,0.0016,37.5172,322.5354,0.999784,S4I
2371,54.0304,106.7412,0.008696,70.3762,290.5674,2.00575,S4A
2386,0.0187,138.6332,0.000307,330.1624,17.1425,1.002698,S4G
2388,0.0168,89.4706,0.00029,15.5777,185.6973,1.002704,S4G
2397,0.0447,59.9756,0.0001,9.1728,216.9865,1.002636,S4G
2406,82.5504,96.0925,0.002137,228.6797,131.252,13.835262,S45
2411,0.0161,72.377,6.2e-05,290.1376,54.2104,1.002696,S4G
2417,0.0364,291.5746,0.000188,55.9166,344.4853,1.002689,S4G
2431,8.6123,61.9435,0.000366,356.1798,3.7895,1.002714,S4J
2444,98.578,195.4275,0.000124,85.0903,7.1924,14.299828,S42
2452,98.3839,147.7509,0.000778,199.269,160.8199,14.292422,S42
2454,100.3363,10.5341,0.000789,218.2221,141.8349,13.440027,S42
2468,98.3787,148.9723,0.000852,194.7301,165.3633,14.294914,S42
2472,98.6474,260.0877,0.000162,122.0079,357.906,14.200647,S42
2479,98.3751,149.9489,0.000904,170.6219,189.5174,14.301253,S42
2480,31.5801,267.4199,0.119705,45.8195,322.8346,0.819266,S4W
2495,98.3721,148.7906,0.000998,169.5234,190.6126,14.297953,S42
2511,98.3655,150.0509,0.000978,165.9492,194.1943,14.301924,S42
2525,10.0842,51.8178,0.000347,164.39,195.6168,1.002625,S4J
2536,54.0009,232.5346,0.007964,20.3998,339.992,2.005485,S4A
2557,3.4709,77.2005,0.000473,203.9599,155.7273,0.99462,S4I
2559,0.0078,63.2411,0.000167,41.9735,191.7663,1.002711,S4G
2610,0.0324,75.3906,0.000263,41.7215,123.3438,1.002699,S4G
2613,101.4641,219.5303,0.001168,223.4561,136.5585,12.535737,S42
2642,4.3013,75.251,0.000425,15.9091,155.4124,1.002733,S4J
2644,6.4788,69.9089,0.000274,50.344,309.5909,0.989539,S4I
2676,53.4895,169.576,0.006154,265.8767,93.3957,2.005566,S4A
2703,4.8686,78.6612,0.000644,150.1287,209.7409,0.989039,S4I
2725,0.0146,22.7598,0.000322,87.3444,184.4049,1.002735,S4G
2751,0.0375,84.3414,0.000146,25.1692,162.9379,1.002715,S4G
2770,0.0144,357.1111,0.000175,118.1082,172.897,1.002712,S4G
2876,0.0623,252.099,0.000464,285.2597,159.7212,1.002669,S4G
2990,3.5773,76.7631,7.4e-05,2.4623,354.9339,1.00273,S4J
3001,69.9309,47.8782,0.094155,148.7602,217.3114,13.567759,S45
3014,1.5039,82.1122,0.000843,168.3691,41.285,0.986345,S4H
3026,9.3428,58.2519,0.000331,96.1221,263.9027,1.002302,S4I
3043,3.8667,76.3923,0.001467,298.8852,60.7707,0.990506,S4I
3054,0.0095,292.6358,0.000207,209.5185,236.9078,1.002712,S4G
3056,3.1222,332.6242,0.000452,127.5759,119.631,1.002722,S4J
3058,56.0559,166.4874,0.000935,321.7467,38.1436,1.701885,S4A
3085,0.5781,84.5143,0.000501,16.1098,198.2535,1.002708,S4G
3101,0.05,320.0451,0.000125,89.073,155.1475,1.002705,S4G
3111,0.0249,104.7861,0.000224,330.1821,143.5035,1.002726,S4G
3124,4.2109,75.3549,0.000939,323.6289,36.1154,1.002899,S4J
3129,82.9885,330.8385,0.093181,113.0923,257.1118,13.44569,S45
3135,0.018,26.2404,0.000203,107.4807,151.9459,1.002692,S4G
3143,0.0453,181.3525,0.000251,287.0862,187.3329,1.002714,S4G
3309,7.2648,67.1213,0.00038,68.0065,291.9678,0.998233,S4I
3328,0.0207,281.3979,0.000298,196.2474,149.9737,1.002693,S4G
3340,0.0331,65.0623,0.000292,39.5257,335.071,1.002704,S4G
3372,3.9226,76.0395,0.001852,209.7662,333.8818,0.98584,S4I
3437,5.8034,72.6535,0.000617,170.8398,189.0686,0.98434,S4I
3440,3.5638,76.9948,0.000122,10.3737,198.3264,1.002735,S4J
3445,5.5333,72.1026,0.000113,45.0662,127.0809,1.002699,S4J
3483,97.4436,195.2036,0.000158,84.3937,13.7875,15.191481,S42
3486,98.2058,138.697,0.00019,237.8501,122.2571,14.701605,S42
3488,98.7217,247.6249,0.000127,93.8249,266.3084,14.21481,S42
3490,97.9959,70.1992,0.001304,145.3899,214.8165,14.631095,S42
3491,73.9334,141.2131,0.000929,277.3091,82.6953,14.747715,S45
3498,98.7178,195.376,0.001084,68.619,291.6145,14.200975,S42
3501,20.5555,53.5739,0.001433,86.5874,273.6149,14.924161,S45
3517,0.0873,216.0046,0.000186,294.6364,108.5089,1.002755,S4G
3522,98.9461,260.9821,0.001043,90.0687,270.1671,14.137444,S42
3669,9.7369,55.7343,0.000365,71.0614,229.1272,1.002628,S4J
3682,82.9239,183.5471,0.003763,352.2653,7.7918,13.717621,S45
3703,98.2123,140.5642,0.000378,269.8777,90.1973,14.702385,S42
3720,0.0175,43.061,0.000266,70.4151,102.0943,1.002694,S4G
3819,94.0197,130.2181,0.000989,282.8495,77.1448,14.971224,S43
3833,69.9837,300.386,0.001015,28.9562,331.2025,14.553948,S45
3844,14.4233,6.5933,0.000215,242.9436,117.0545,0.989516,S4I
3886,98.0765,84.2528,0.001829,146.5395,213.6966,14.616495,S42
3901,0.0102,19.993,0.000246,86.6504,222.8484,1.002724,S4G
3913,4.4356,74.9099,0.000333,314.9053,44.8965,0.98799,S4I
3919,0.0514,236.9688,5.5e-05,86.3494,23.7108,1.002703,S4G
3947,98.345,206.7936,9.9e-05,78.477,281.6519,14.217934,S42
3952,97.967,74.8976,0.000381,244.9794,115.1015,14.655304,S42
3953,2.9931,78.8913,0.000363,211.7389,147.9577,0.991497,S4I
3957,97.3614,254.5681,0.000903,98.457,5.0911,15.226764,S42
3960,98.1277,125.3585,0.000265,65.1595,294.99,14.638393,S42
3961,66.0259,72.8996,0.00061,282.9363,80.4934,12.809638,S45
3968,97.7289,208.0265,0.000386,159.5892,200.5518,14.956392,S42
3971,39.9977,59.0381,0.002437,106.3811,253.9657,14.820829,S45
3986,98.2326,131.4418,0.000124,79.2286,280.8989,14.570912,S42
4013,2.3868,315.5548,0.000238,159.1831,95.836,1.002733,S4J
4020,98.2192,292.2872,0.000744,138.8229,221.3585,14.847021,S42
4021,98.2822,282.9642,6.1e-05,129.9638,230.1611,14.508551,S42
4023,98.5471,255.0619,9.3e-05,89.811,270.3179,14.322493,S42
4033,55.9779,201.6063,0.002447,222.5516,137.3157,1.708967,S4A
4036,109.8467,94.0821,0.004464,265.2577,94.3075,6.386648,S4A
4043,97.4503,255.6614,0.000537,325.2694,115.9317,15.12531,S42
4045,0.0156,7.6753,0.000207,58.3045,240.3034,1.002716,S4G
4047,97.9929,69.141,0.001169,148.2852,211.906,14.629707,S42
4057,0.0339,305.4328,0.000345,176.8598,211.1013,1.002735,S4G
4058,0.0767,31.6941,0.000281,60.2547,241.4542,1.002735,S4G
4059,0.0907,111.4129,0.000174,16.1022,166.5577,1.002715,S4G
4062,0.0323,97.2387,7e-05,228.6886,274.182,1.002688,S4G
4067,0.9873,82.7022,0.000552,15.3168,231.5999,1.002712,S4G
4069,0.0262,257.801,0.000287,208.3958,183.1592,1.002715,S4G
4113,0.0756,36.0109,0.000434,50.8485,266.1931,1.002732,S4G
4115,0.0462,160.0049,0.000194,335.2921,131.1517,1.002701,S4G
4117,82.483,122.7905,0.002443,189.3913,170.6709,12.445203,S45
4118,82.482,121.9833,0.002529,191.9,168.1487,12.44815,S45
4119,63.4439,195.9581,0.028343,353.1326,6.5786,12.067592,S45
4122,0.0304,61.7607,0.000296,54.6314,263.7811,1.002703,S4G
4123,0.047,88.2725,0.000766,0.6933,177.7506,1.002711,S4G
4126,82.9345,132.0334,0.00358,179.4387,180.6808,13.725024,S45
4128,97.1531,233.9551,0.000827,331.0947,128.679,15.244409,S42
4132,55.3419,113.0816,0.004884,330.9611,28.7638,2.005698,S4A
4139,1.9615,278.7912,0.00023,160.0024,158.0194,1.002725,S4G
4142,97.9674,42.1637,0.004246,206.3901,153.5132,14.549747,S42
4143,64.5606,349.521,0.00854,276.9199,82.2176,14.723543,S45
4147,64.5607,324.6586,0.006994,268.3453,90.9606,14.743551,S45
4148,97.9932,69.1487,0.001199,82.8775,277.379,14.6297,S42
4150,0.0144,16.7739,0.000263,91.3081,268.7391,1.002726,S4G
4156,64.5601,354.3262,0.008619,275.7086,83.419,14.713662,S45
4157,64.5593,13.2747,0.009493,278.7566,80.2779,14.692955,S45
4160,0.0322,90.5623,0.000286,329.0097,287.7902,1.002697,S4G
4161,0.4815,90.9213,0.000247,293.8006,173.0702,1.002434,S4G
4164,98.7458,193.5755,0.001373,330.1191,29.918,14.183169,S42
4165,39.7532,173.3304,0.019711,349.0597,10.594,14.723538,S45
4169,0.0167,280.2202,0.0003,172.7732,262.4291,1.002714,S4G
4171,53.6295,233.404,0.014174,205.8907,153.4603,2.005588,S4A
4178,0.0088,290.4602,0.000452,185.4019,105.6597,1.002705,S4G
4181,65.2018,305.4716,0.727971,271.859,36.8223,2.004273,S4K
4182,64.7307,175.8604,0.000145,213.6763,250.6714,2.131023,S4A
4184,64.7429,175.8967,0.000622,289.2703,175.5339,2.131026,S4A
4186,64.7332,175.8338,0.001662,162.0884,350.8135,2.131016,S4A
4188,64.5593,300.042,0.005532,258.7102,100.7763,14.766926,S45
4189,0.0257,278.0925,0.000578,217.0648,139.3265,1.002699,S4G
