Index,Inclination Angle (deg),Right Ascension of Ascending Node (deg),Eccentricity,Argument of Perigee (deg),Mean Anomaly (deg),Mean Motion (revs/day),Orbit Type
5112,0.035,68.4791,0.000642,63.7446,201.1736,1.002737,S4G
5113,97.9927,69.1342,0.001429,138.5968,221.6323,14.632445,S42
5115,0.0484,248.6058,0.000203,282.3776,131.7399,1.002725,S4G
5138,64.2055,294.9246,0.003814,82.9592,77.738,2.131045,S4A
5140,64.2004,294.9154,0.004006,96.6573,324.7838,2.131041,S4A
5142,64.1897,294.8973,0.004496,102.0096,41.0259,2.131043,S4A
5144,0.0448,159.909,0.00011,6.3947,45.8435,1.002726,S4G
5154,67.0805,118.1324,0.001005,298.3165,61.7006,15.414357,S45
5162,0.0305,310.0296,5.8e-05,48.0672,316.2722,1.002667,S4G
5167,0.0261,9.0606,0.000235,88.3054,231.9031,1.002709,S4G
5170,97.9655,255.8277,0.000135,91.4461,268.6893,14.702244,S42
5171,0.0228,328.2274,0.000158,115.3377,202.6604,1.002687,S4G
5174,98.0933,82.4857,0.001576,352.9622,7.1351,14.600451,S42
5176,0.0625,263.2071,0.000156,269.9926,115.4365,1.002679,S4G
5179,98.065,218.5622,0.007236,77.7138,283.2136,14.432775,S42
5180,2.1209,79.9425,0.000613,127.7884,231.8076,0.992352,S4I
5189,98.0696,212.1767,0.008496,93.146,267.9453,14.406128,S42
5192,98.0685,236.343,0.00352,37.9142,322.4541,14.506001,S42
5193,98.0613,224.174,0.006016,63.4502,297.2801,14.457023,S42
5195,0.0378,317.864,0.000218,98.168,234.4184,1.002705,S4G
5206,86.393,244.2604,0.000252,83.5072,276.6364,14.342204,S43
5211,0.0194,40.4701,0.000292,74.9541,128.2293,1.002686,S4G
5215,0.5269,77.9604,0.000223,63.9691,121.1403,1.002641,S4G
5218,82.9591,246.4511,0.003806,215.0325,144.8328,13.758334,S45
5221,86.3935,244.3798,0.000245,91.0173,269.131,14.342203,S43
5232,70.9985,103.151,0.001463,348.084,11.9932,14.111167,S45
5233,0.0128,89.227,0.000487,183.7258,297.2861,1.002715,S4G
5235,86.3931,244.3758,0.000241,94.5954,265.5492,14.34221,S43
5236,98.2365,189.1343,0.000818,164.9721,195.1735,14.574748,S42
5240,0.0382,174.0031,1.3e-05,50.8728,63.5587,1.002713,S4G
5242,48.2305,271.7766,0.004944,301.7082,57.9047,15.576733,S45
5245,97.5423,237.7122,0.001049,261.9302,98.0681,14.885276,S42
5250,97.5377,236.0652,0.001028,266.7239,93.2816,14.878205,S42
5251,0.0068,277.4366,0.000321,190.4112,189.3919,1.002703,S4G
5252,0.0387,75.1818,0.000181,57.0627,136.1006,1.00264,S4G
5253,86.3931,244.5484,0.000364,103.6457,256.5161,14.342204,S43
5265,86.3924,244.1699,0.00024,87.47,272.6773,14.342199,S43
5282,0.0227,107.9233,0.000243,8.3746,225.0536,1.002712,S4G
5284,0.0188,358.6057,0.000227,89.0623,226.8176,1.002722,S4G
5287,0.814,83.694,0.000284,6.3546,182.8426,1.002699,S4G
5289,0.015,10.5215,0.00019,124.8175,154.6917,1.002692,S4G
5298,97.9065,260.7343,0.00021,89.9263,270.2187,14.826409,S42
5304,0.0138,78.8645,0.00026,20.0558,217.561,1.00271,S4G
5311,82.4835,111.2792,0.001438,229.1707,130.8124,12.455491,S45
5312,55.6579,352.1911,0.005591,160.4396,199.7798,2.005582,S4A
5319,98.2312,281.327,0.035302,112.2991,251.5997,13.877199,S42
5321,98.1841,261.7651,0.000215,96.7606,263.3828,14.595574,S42
5325,0.0103,345.9988,2.5e-05,269.9177,68.3804,1.002693,S4G
5352,86.3944,275.7268,0.000254,82.7001,277.3941,14.342177,S43
5365,86.4256,315.8947,0.000362,18.8306,341.3286,16.236741,S43
5366,97.9918,248.2919,0.001741,74.767,285.5477,14.81288,S42
5381,86.3943,275.7609,0.000246,88.2022,271.9449,14.34221,S43
5382,0.0235,287.4133,0.0001,152.0256,111.4448,1.002718,S4G
5390,0.051,138.0705,0.00012,339.579,98.255,1.002737,S4G
5392,54.0414,231.4554,0.008702,149.7028,210.8712,2.005553,S4A
5400,6.6894,116.6174,0.725045,125.3166,324.6233,2.31874,S4K
5401,86.3944,275.761,0.000242,89.324,270.8075,14.342161,S43
5403,0.2824,79.3304,0.000559,41.7478,167.272,1.002733,S4G
5408,0.0412,107.0478,0.000106,81.7773,56.4637,1.002706,S4G
5409,1.0144,0.1472,0.532806,186.4789,158.6847,1.942088,S4K
5415,86.403,276.2733,0.000299,112.6211,247.5234,14.352409,S43
5416,12.9234,22.5292,0.000506,23.9656,336.0781,1.001568,S4I
5420,97.9907,248.0373,0.001672,75.7147,284.5926,14.813647,S42
5421,98.1317,124.4543,0.000176,66.3257,293.8132,14.638202,S42
5422,96.5735,77.1593,0.024972,25.8646,335.4819,15.033404,S42
5423,98.2331,128.9135,0.00012,87.7389,272.3961,14.570907,S42
5429,86.398,307.4255,0.000251,91.877,268.2691,14.342162,S43
5440,86.3967,307.3719,0.000254,88.2115,271.9412,14.343934,S43
5451,86.3969,307.4545,0.000232,89.2255,270.9221,14.342167,S43
5472,0.009,293.4543,0.000186,155.7421,197.6129,1.002692,S4G
5483,98.3076,305.4452,0.000138,161.6592,198.4705,14.599489,S42
5495,14.642,14.697,0.066973,359.14,11.573,0.889242,S4W
5519,86.3967,181.1391,0.000253,84.2149,275.9309,14.342169,S43
5530,86.3965,181.1394,0.000251,80.1419,280.0031,14.342172,S43
5531,98.2048,78.4083,0.001868,44.511,315.7609,15.020521,S42
5544,86.3977,181.3839,0.000248,77.6735,282.4708,14.342173,S43
5555,86.3965,181.0271,0.000256,80.904,279.2422,14.342169,S43
5566,86.3977,181.4347,0.00025,81.8099,278.3369,14.342171,S43
5638,86.3943,212.6397,0.000257,84.3198,275.8229,14.342192,S43
5639,11.9361,35.2516,0.000633,181.532,178.4887,1.001408,S4I
5899,86.3952,212.5866,0.000247,81.451,278.6949,14.342191,S43
5910,86.3947,212.7535,0.000243,85.77,274.3716,14.342195,S43
5921,86.3947,213.5288,0.000268,85.9557,274.1941,14.342169,S43
5932,86.3944,212.7532,0.000248,81.8539,278.2863,14.342191,S43
5943,86.3944,212.7451,0.000248,85.5317,274.6111,14.342191,S43
5964,82.9201,213.363,0.004061,20.9906,339.2906,13.796347,S45
5975,0.0201,62.1775,0.000323,23.7696,229.4693,1.002715,S4G
6001,86.3933,244.2215,0.000246,85.3304,274.819,14.342199,S43
6002,11.8827,36.5485,0.000215,250.567,109.4199,0.999139,S4I
6132,86.3934,244.2727,0.00025,88.6808,271.4691,14.342205,S43
6143,86.3942,244.3051,0.000256,82.4693,277.681,14.342666,S43
6154,86.3932,244.3432,0.000248,85.0681,275.078,14.342193,S43
6166,86.3936,244.2827,0.000243,83.4066,276.7367,14.342206,S43
6188,0.0167,318.6399,0.000141,165.6062,230.7922,1.002699,S4G
6200,0.0462,228.1081,0.000347,236.0704,168.6539,1.002715,S4G
6224,2.4297,306.5732,0.000237,171.3036,171.1487,1.002692,S4J
6230,82.4841,111.7981,0.001202,231.3393,128.661,12.452289,S45
6231,97.7321,189.9867,0.000807,51.2811,308.9121,14.905625,S42
6234,97.7315,189.9269,0.002044,60.0434,300.2817,14.90588,S42
6252,86.3972,307.6479,0.000245,86.0148,274.1321,14.342163,S43
6265,86.398,307.4834,0.000249,92.6496,267.4965,14.342161,S43
6276,86.397,307.5323,0.000244,85.5452,274.6036,14.342165,S43
6287,86.3998,307.6593,0.000239,94.051,266.0923,14.34216,S43
6290,98.2063,138.8442,0.000297,234.9843,125.1165,14.701578,S42
6291,98.2175,142.5412,0.000776,259.698,100.3424,14.70158,S42
6292,98.2175,142.5733,0.001098,254.9233,105.0819,14.701582,S42
6293,0.0201,352.4744,0.000258,119.5425,248.0439,1.002711,S4G
6297,2.4656,224.6257,0.002099,164.6702,195.4098,15.096993,S44
6299,86.3969,306.8928,0.000314,108.6249,251.526,14.346571,S43
6300,70.9915,1.4078,0.001054,156.4283,203.7324,14.130254,S45
6301,97.4097,269.999,0.000708,92.5608,57.6671,15.210064,S42
6304,98.1883,188.1089,0.001023,206.6411,153.4262,14.576005,S42
6307,0.0293,81.654,0.00024,39.044,190.2949,1.002698,S4G
6308,98.4999,260.8364,0.025314,53.6341,308.7953,15.036507,S42
6315,100.1869,296.2355,0.003217,78.7301,281.7508,14.432483,S42
6319,13.0079,6.9138,0.031766,85.5349,278.1124,14.803248,S44
6320,100.217,325.6907,0.003306,156.0406,204.2297,14.401686,S42
6321,2.9262,78.1334,0.00041,34.0865,187.4983,1.002668,S4J
6323,64.0763,293.7522,0.000734,152.6295,209.5499,2.131029,S4A
6325,64.0878,293.7917,0.000437,168.3598,337.3737,2.131029,S4A
6327,64.081,293.7752,0.001187,157.6765,216.6526,2.131037,S4A
6330,64.7572,335.3658,0.732345,281.1764,309.4817,2.006498,S4K
6331,8.0188,74.1987,0.00035,119.0289,240.944,1.00335,S4I
6332,2.9589,92.7434,0.00023,74.7641,155.7475,1.002732,S4J
6334,34.9668,102.938,0.000133,276.6715,83.3853,15.561323,S45
6336,82.9507,318.0949,0.00388,290.3284,69.3734,13.873355,S45
6337,82.9501,318.7359,0.003668,294.2994,65.4352,13.869572,S45
6340,0.0295,181.7305,1.1e-05,300.2301,189.1293,1.00271,S4G
6341,69.9316,214.9547,0.015974,1.9278,65.3003,15.347793,S45
6343,0.015,4.9825,0.000246,89.7722,204.6902,1.00271,S4G
6346,7.1175,53.4366,0.69008,252.2842,26.145,2.780488,S4K
6347,98.0449,258.9152,0.004421,253.1611,106.471,14.625184,S42
6348,98.0407,255.5462,0.006945,262.5165,96.8096,14.579091,S42
6349,11.4445,41.8808,0.000898,332.4006,27.561,0.998474,S4I
6374,98.043,257.7503,0.005265,256.2414,103.2889,14.609684,S42
6375,98.0395,254.4197,0.007822,265.7513,93.4716,14.562696,S42
6376,98.0406,256.6499,0.006119,259.0246,100.4036,14.593909,S42
6394,86.3969,307.6334,0.000244,88.2455,271.9033,14.342164,S43
6411,97.7896,254.7981,0.002825,77.3693,283.0788,14.814833,S42
6418,86.3969,181.1416,0.000249,81.2286,278.9159,14.342173,S43
6423,97.7977,287.08,0.001071,289.3437,70.6624,14.9191,S42
6435,86.3963,181.1379,0.000245,82.3166,277.8284,14.342172,S43
6446,86.3967,180.9687,0.000246,76.0218,284.1249,14.342173,S43
6465,5.9125,327.4287,0.000315,127.4585,149.6531,1.002716,S4J
6488,12.9144,22.2402,7.8e-05,65.1067,294.9261,1.003121,S4I
6491,10.2133,286.1612,0.758525,47.1067,354.9874,1.126074,S4K
6500,0.0353,75.9825,0.000307,19.9288,230.1052,1.002711,S4G
6556,4.7125,58.9237,0.000382,338.6414,283.8457,0.991536,S4I
6567,0.0508,195.5236,0.00028,264.1538,325.8622,1.00272,S4G
6574,1.1942,80.2727,0.002043,313.2173,169.9313,1.003623,S4H
6578,97.9095,128.2235,0.000116,59.691,300.435,14.911667,S42
6580,97.9661,35.4139,0.004652,234.2077,125.4796,14.535551,S42
6582,0.436,351.9824,0.000292,122.457,95.2184,1.002733,S4G
6583,0.0718,212.5973,0.000453,262.9462,177.2521,1.002698,S4G
6585,98.0502,262.96,0.001417,249.1635,110.8051,14.679928,S42
6592,84.984,275.1055,0.000806,304.0066,56.038,14.466799,S45
6596,108.0585,268.0245,0.000212,253.9189,106.1713,14.315117,S46
6607,107.9741,135.1713,0.005017,166.5221,193.7248,14.253126,S46
6608,12.6307,29.6546,0.000986,30.7241,329.3566,0.988725,S4I
6834,107.9718,135.3278,0.004594,167.6528,192.5725,14.252741,S46
6845,52.0057,340.794,0.00022,141.6569,218.4465,12.379751,S45
6857,51.9984,212.3307,0.000333,243.231,116.8215,12.631442,S45
6869,52.004,277.7885,8.8e-05,107.7905,252.3009,11.614209,S4A
6881,51.9929,216.3452,7.4e-05,208.3391,151.7439,12.622663,S45
6893,86.395,275.8844,0.000249,93.0265,267.1189,14.342201,S43
6904,86.3953,275.9543,0.000247,86.9871,273.1606,14.342209,S43
6915,86.3948,275.905,0.000246,86.3957,273.7522,14.342206,S43
6926,86.3953,275.8646,0.000241,87.3631,272.7811,14.342197,S43
6935,0.0139,3.1182,0.000264,97.227,226.2916,1.002685,S4G
6939,86.3949,275.8952,0.000241,92.3999,267.7459,14.342176,S43
6940,12.22,31.233,0.000468,279.2679,80.7024,1.001594,S4I
6944,0.0792,71.4037,0.000165,45.6949,183.8964,1.002586,S4G
6953,0.0613,286.6001,0.00043,143.0289,173.9406,1.002709,S4G
6965,0.0328,26.1003,0.000238,65.7901,114.4653,1.002674,S4G
6974,0.0362,250.417,0.000175,239.2092,158.8838,1.002735,S4G
6981,2.3045,44.2237,0.000277,37.1109,191.7223,1.002771,S4J
6992,86.4448,244.3539,0.000251,86.6771,273.4695,14.429557,S43
7003,86.3934,244.3195,0.000247,88.3513,271.7964,14.342203,S43
7014,86.3944,212.6505,0.000251,80.2282,279.9075,14.342191,S43
7021,0.0131,32.5975,0.000224,81.8576,129.6338,1.002726,S4G
7026,86.394,212.7946,0.000252,80.6987,279.4487,14.342189,S43
7037,86.3951,212.9204,0.000235,82.9295,277.2112,14.342191,S43
7048,86.3968,212.9185,0.000267,58.7497,301.3958,14.342173,S43
7059,86.3942,212.6059,0.000255,86.9803,273.163,14.34219,S43
7060,12.4307,28.5104,0.000947,69.4972,290.6247,1.001634,S4I
7132,97.7154,36.4798,0.002188,340.7967,19.2429,14.986774,S42
7144,86.3981,149.449,0.00025,79.2252,280.9242,14.342168,S43
7148,98.2028,225.0102,0.000113,81.8075,278.3255,14.571298,S42
7156,86.3986,149.5809,0.000251,79.5633,280.58,14.34217,S43
7167,86.3986,149.6095,0.000249,80.0323,280.1189,14.342181,S43
7178,86.3982,149.4771,0.000247,77.3304,282.8133,14.342168,S43
7189,86.3986,149.552,0.000243,78.4556,281.6913,14.342169,S43
7200,86.3987,149.6347,0.00025,81.5506,278.5963,14.342167,S43
7211,86.3988,149.138,0.000249,80.5881,279.5612,14.342172,S43
7222,51.9916,225.8652,0.000981,132.7272,227.4419,12.383726,S45
7233,51.9991,262.1329,0.000132,156.8903,203.2021,12.622582,S45
7234,98.1478,254.9781,0.000784,91.7791,268.4304,14.571416,S42
7247,51.9979,261.668,0.000278,161.2826,198.8143,12.622619,S45
7258,51.9957,261.5752,5.3e-05,225.8076,134.2744,12.622632,S45
7269,0.071,87.6535,0.000461,10.3654,229.562,1.002714,S4G
7281,86.4004,177.7588,0.00026,118.2037,241.9421,14.370396,S43
7286,0.043,65.7774,0.000123,112.2258,116.5159,1.00269,S4G
7297,97.6375,172.3185,0.00172,278.1446,81.7841,15.008841,S42
7304,0.0115,279.6856,0.000238,160.256,117.0193,1.002713,S4G
7326,0.0823,252.2794,0.000277,156.7941,312.1189,1.002741,S4G
7328,98.554,179.9649,0.001041,352.1504,7.946,14.247119,S42
7331,0.0197,25.7212,0.000222,76.2628,134.835,1.002722,S4G
7332,97.8817,113.6872,0.003463,47.5109,312.8842,14.817556,S42
7334,54.9855,172.7141,0.003691,205.0752,154.7184,2.005524,S4A
7347,86.399,149.5976,0.000249,77.7062,282.4426,14.342169,S43
7348,98.0954,82.137,0.001772,353.9548,6.1444,14.596248,S42
7349,98.0939,81.7969,0.001745,352.8354,7.2568,14.59642,S42
7359,86.3984,149.0478,0.000247,78.0484,282.0999,14.342174,S43
7370,86.4447,141.1315,0.000275,91.6715,268.4803,14.470744,S43
7381,86.4502,149.7457,0.000259,80.0851,280.0642,14.42948,S43
7393,86.3985,149.7626,0.000248,81.2861,278.8595,14.342178,S43
7404,0.0385,232.5767,0.000312,215.2598,156.7727,1.002703,S4G
7416,0.0439,174.4201,0.000181,282.7612,237.193,1.002721,S4G
7425,0.074,256.4921,0.000332,198.686,171.554,1.002702,S4G
7436,98.0901,82.0105,0.001697,353.037,7.0582,14.597243,S42
7438,82.5885,261.0982,0.035498,312.9143,44.2634,12.217532,S45
7459,82.5789,256.0074,0.035536,305.1089,51.7142,12.223507,S45
7467,40.0255,178.4493,0.00054,239.2232,120.8051,15.590379,S45
7470,13.0467,18.3385,0.000777,35.4933,324.5706,1.002605,S4J
7516,27.301,240.93,0.971837,156.399,359.99,0.068866,S4C
7529,98.3875,232.9878,0.000201,110.7101,249.4294,14.241637,S42
7540,98.3786,231.8575,0.00033,120.0373,240.1136,14.243,S42
7551,98.3741,227.9073,0.000309,146.8633,213.2751,14.237586,S42
7562,98.362,222.9231,0.000155,143.1114,217.0176,14.231447,S42
7568,98.1098,302.2717,0.016211,329.9289,29.2696,15.579766,S42
7570,0.0137,348.794,0.000114,94.26,296.9219,1.002716,S4G
7572,64.8677,175.2206,0.001654,145.2419,320.0435,2.131026,S4A
7574,64.884,175.2203,0.00211,329.5048,204.1247,2.131032,S4A
7576,64.8657,175.213,0.000993,321.7914,197.2211,2.13102,S4A
7578,82.4649,178.4164,0.000782,23.7773,336.3673,12.550582,S45
7581,98.3629,222.1251,0.000181,119.5691,240.5658,14.226709,S42
7593,98.376,229.5009,0.000271,110.1996,249.9483,14.239154,S42
7604,0.0537,67.6699,0.000308,359.6933,219.687,1.002732,S4G
7612,98.0985,82.2682,0.001769,352.2638,7.83,14.596807,S42
7630,44.999,72.3861,0.000191,64.1975,295.9065,14.274688,S45
7631,11.2163,42.8887,0.00088,292.7511,67.1768,0.987648,S4I
7644,44.9979,67.6611,0.000336,70.4467,289.6739,14.274783,S45
7655,44.9986,72.6893,0.000267,62.645,297.4682,14.274798,S45
7666,44.9987,72.8137,0.000207,51.3893,308.7127,14.274686,S45
7677,45.0013,73.6025,7.6e-05,69.9614,290.1313,14.274726,S45
7684,105.6509,183.5557,0.236513,259.3034,73.5193,10.594837,S4A
7686,105.6653,195.4661,0.235605,249.3427,84.0639,10.6924,S4A
7687,105.6777,192.59,0.236175,253.1783,79.8729,10.660633,S4A
7689,45.0012,73.7565,0.000191,92.2471,267.8593,14.274731,S45
7690,71.9814,4.233,0.005156,17.861,342.4306,14.270673,S45
7693,71.9709,280.0323,0.004578,326.5507,33.2705,14.27051,S45
7696,72.0212,67.2541,0.003555,32.7044,327.6255,14.270648,S45
7699,72.0116,277.3493,0.005389,304.6038,54.9969,14.539246,S45
7702,72.0087,336.9408,0.007056,261.267,98.0446,14.270599,S45
7705,72.0372,37.7156,0.00411,3.6142,356.5242,14.270733,S45
7712,45.0008,73.6594,0.000135,41.1563,318.9383,14.274766,S45
7723,45.0023,69.3725,0.000252,83.4626,276.6517,14.274731,S45
7745,86.3973,180.7856,0.000203,85.6712,274.4668,14.342169,S43
7750,35.4339,35.9994,0.000253,166.4689,193.6095,15.025296,S45
7763,86.3965,181.1029,0.000214,67.9407,292.1989,14.342175,S43
7764,15.3842,15.7445,0.002934,105.6429,254.7055,0.974567,S4I
7780,0.049,276.5921,0.000334,175.2257,149.542,1.002695,S4G
7788,97.4101,308.4735,0.000786,153.0791,354.9872,15.212875,S42
7790,97.817,185.5411,0.000122,105.3384,254.7973,14.802988,S42
7792,98.2327,131.3876,0.000136,93.788,266.3493,14.570895,S42
7794,78.8969,77.7538,0.005547,146.0684,214.4083,15.456736,S45
7796,0.0158,13.9889,0.00034,93.5654,184.2354,1.00269,S4G
7812,97.865,246.531,0.001294,332.7454,27.3071,14.802188,S42
7822,86.3969,307.4574,0.000271,107.1885,252.9626,14.342168,S43
7833,86.3976,307.4305,0.000243,86.5878,273.5587,14.342158,S43
7847,86.3969,307.5992,0.000243,88.6912,271.4557,14.342163,S43
7850,65.0442,29.5375,0.00194,284.6362,75.2402,15.55004,S45
7860,86.3969,307.5038,0.000128,99.4232,260.7088,14.342161,S43
7871,0.019,14.8356,0.000342,86.3289,187.6158,1.002729,S4G
7878,63.514,215.2826,0.700041,287.258,70.5124,2.006161,S4M
7879,64.5128,19.1986,0.005776,262.1935,97.2638,15.032247,S45
7881,97.4323,310.2278,0.000426,11.3776,144.271,15.259417,S42
7888,45.0099,164.7652,0.000393,342.4043,17.6678,14.287903,S45
7899,45.0109,165.6329,0.000183,324.2361,35.8352,14.287869,S45
7910,45.0093,169.0287,0.000211,334.8456,25.2269,14.287893,S45
7911,56.9868,140.6172,0.0021,141.9108,218.3423,15.155432,S45
7925,45.0107,165.0234,0.000161,297.7857,62.2831,14.287862,S45
7936,45.01,164.2794,9.4e-05,36.3136,323.7768,14.287914,S45
7947,45.0089,156.3415,0.000387,114.2078,245.918,14.291317,S45
7958,45.0086,163.9751,0.000297,313.5903,46.4718,14.28787,S45
7969,45.0105,138.5421,0.000231,84.7835,275.3277,14.299577,S45
7991,0.0516,351.7368,0.000433,106.85,134.634,1.002731,S4G
8003,0.0473,153.8432,0.000281,322.1299,156.619,1.002733,S4G
8014,0.0663,0.1604,0.000425,91.059,112.2358,1.002742,S4G
8025,2.6584,30.4995,0.001214,264.0953,95.6427,0.981783,S4I
8026,11.228,43.25,0.002862,209.5668,150.2891,0.989072,S4I
8032,0.0148,313.0403,7.1e-05,289.8654,9.0286,1.002731,S4G
8041,24.9956,83.0081,0.001765,133.7761,226.4036,14.431038,S45
8056,98.0803,194.6175,0.001643,43.8211,316.4294,14.628406,S42
8058,55.4872,51.782,0.006888,290.199,69.1167,2.005533,S4A
8063,0.0121,338.1423,0.0003,105.3336,210.5834,1.002712,S4G
8066,97.6896,198.7705,0.00042,120.8334,239.3303,14.905979,S42
8070,97.6903,198.1789,0.000218,149.6921,210.4413,14.899083,S42
8075,31.4318,207.657,0.035492,195.3499,163.6117,14.282199,S45
8087,0.016,68.2781,0.000258,27.1687,222.4678,1.002714,S4G
8099,0.0345,4.113,0.000226,94.0769,149.2265,1.002722,S4G
8114,85.5643,117.1256,0.001062,358.4892,1.6303,14.977857,S43
8125,86.3946,275.1867,0.0002,98.9666,261.167,14.342187,S43
8136,86.3939,275.7113,0.000255,87.396,272.7459,14.342168,S43
8143,0.0027,312.5662,4e-06,339.2183,38.0507,1.002715,S4G
8145,55.2458,112.145,0.003586,303.9296,55.7397,2.005738,S4A
8152,86.3953,275.7585,0.000245,87.6761,272.4686,14.342214,S43
8153,0.0121,0.2077,0.000193,68.4122,310.4605,1.002713,S4G
8163,51.6409,274.7598,0.0009,343.0054,2.828,15.749475,S45
8165,10.9733,30.8551,0.002876,130.2371,230.004,0.98547,S4I
8170,98.0387,252.445,0.009339,271.1148,87.9335,14.534324,S42
8174,89.9114,15.0024,0.000625,135.6621,224.5028,13.980593,S43
8177,63.225,98.6202,0.711889,294.1982,21.9167,2.006177,S4M
8178,98.1142,252.696,0.002351,21.1088,321.764,15.264474,S42
8182,0.0812,88.9396,0.000241,344.5903,160.8427,1.002686,S4G
8185,65.1634,54.696,0.002496,354.7339,39.2241,2.131035,S4A
8187,65.1801,54.712,0.001829,166.2778,225.1469,2.131039,S4A
8189,65.1645,54.7013,0.001585,164.8307,221.8813,2.131039,S4A
8197,0.0361,84.5437,0.000169,356.3109,274.4049,1.002714,S4G
8202,12.1812,127.3279,0.904268,189.1252,353.9625,0.255631,S4V
8204,1.3684,279.1389,0.864635,42.3214,352.1668,0.50617,S4V
8206,4.9684,284.1996,0.754721,51.0369,340.2469,1.00274,S4D
8208,5.4973,283.2335,0.754875,52.0799,345.9286,1.002741,S4D
8212,69.9009,145.3403,0.000757,20.7246,339.422,14.86771,S45
8219,46.0296,37.5722,0.001097,130.5383,229.6419,15.235217,S45
8234,82.9471,233.045,0.002343,293.7761,66.0935,13.719512,S45
8255,97.9318,249.4293,0.000252,73.7329,286.4155,14.786331,S42
8267,86.5158,181.223,0.000264,81.923,278.2226,14.549386,S43
8278,0.3639,83.2513,0.001905,2.3475,274.6,0.991527,S4H
8295,82.932,9.4023,0.003083,323.3143,36.5909,13.726891,S45
8296,9.4751,57.9773,0.000741,256.5645,103.2853,0.997597,S4I
8308,64.1801,292.7162,0.001615,53.6809,306.5011,2.131026,S4A
8311,98.0373,251.5772,0.010136,273.8339,85.1269,14.519741,S42
8312,98.0404,251.5353,0.010108,273.9733,84.9904,14.520489,S42
8320,64.1736,292.6979,0.001168,46.4504,313.6797,2.131032,S4A
8328,98.0381,251.4453,0.010142,274.1098,84.8513,14.519577,S42
8333,64.1873,292.7281,0.000261,159.5847,200.4591,2.13103,S4A
8348,51.9945,351.7607,0.000231,85.2935,274.8192,12.622604,S45
8350,51.998,308.0037,0.00014,137.9272,222.1733,12.622613,S45
8352,52.0103,37.8704,0.000152,77.2526,282.8583,12.622541,S45
8354,52.0093,308.2374,9.4e-05,170.581,189.5099,12.622612,S45
8362,34.9647,116.9156,0.004808,341.4229,18.4709,15.00178,S45
8366,97.9915,248.7702,0.001699,73.9656,286.3427,14.814225,S42
8378,0.0485,210.167,0.000248,223.0522,185.8953,1.002745,S4G
8379,0.0432,45.8338,0.00033,40.5547,235.9513,1.007432,S4H
8381,141.7457,193.065,0.007462,310.2728,112.6821,15.186605,S46
8382,67.1366,306.8174,0.011276,99.8271,11.4945,16.092719,S45
8385,52.0087,175.2709,0.000938,130.6076,229.5607,12.62203,S45
8390,97.8819,302.4181,0.001994,83.3001,277.0468,14.756825,S42
8392,64.5115,49.7316,0.004297,312.5949,47.1544,15.028819,S45
8393,71.0244,52.6152,0.001103,188.9836,171.1094,14.125038,S45
8394,98.1966,318.7398,0.001502,329.8082,183.513,15.264444,S42
8397,51.9893,170.4318,0.000161,238.7853,121.2857,12.6226,S45
8408,51.9983,169.1028,8e-05,248.4128,111.6654,12.62259,S45
8415,0.0385,164.3615,1.5e-05,181.4923,356.3978,1.002715,S4G
8418,0.0441,105.5748,0.000201,336.3426,258.6409,1.002673,S4G
8419,0.037,201.5666,0.000593,293.5944,156.5089,1.002682,S4G
8421,52.0008,128.3634,0.000109,281.3746,78.6997,12.622607,S45
8432,0.0357,68.6999,0.000324,44.4353,183.6142,1.00271,S4G
8448,0.0453,152.3166,8.6e-05,305.1845,221.2963,1.002707,S4G
8459,99.0492,213.2675,0.000959,208.4582,151.6078,14.188929,S42
8468,0.0131,123.5828,1.9e-05,63.0065,97.0881,1.002712,S4G
8471,96.48,95.6408,0.014249,206.9799,152.3933,14.457636,S42
8474,98.0916,82.5241,0.001565,350.9233,9.1685,14.600324,S42
8484,96.4834,89.6318,0.014667,235.441,123.2883,14.43437,S42
8494,2.5055,229.1041,0.001312,182.0075,177.9959,15.090656,S44
8495,0.007,244.3246,0.000302,217.4402,235.4312,1.002714,S4G
8497,0.04,173.5619,0.000656,326.9642,178.9873,1.002746,S4G
8509,4.6556,53.2614,0.00021,49.4333,249.1158,1.002748,S4J
8521,97.3071,80.904,0.000717,336.0226,24.0695,15.538999,S42
8529,97.4659,262.5273,9.3e-05,56.9497,51.6786,15.242332,S42
8530,97.9921,248.0416,0.001624,74.9865,285.3144,14.813729,S42
8534,52.0116,331.8171,0.00013,148.2418,211.8513,12.386202,S45
8545,52.0104,305.6379,0.000237,134.0093,226.0967,12.622662,S45
8546,98.4347,199.0012,0.001462,337.8505,22.2035,14.152936,S42
8559,52.0068,307.372,0.000174,119.8629,240.2404,12.622596,S45
8570,52.0064,305.1631,0.000146,93.3239,266.7794,12.622665,S45
8575,6.0075,329.2747,0.000394,126.4064,174.9827,1.002699,S4J
8576,0.025,122.3717,0.00011,352.9313,120.4688,1.002694,S4G
8577,1.1574,275.3961,0.715536,125.0493,325.3196,2.232461,S4K
8578,0.0425,77.3941,0.000304,174.3093,59.4005,1.002711,S4G
8583,0.0672,339.367,0.000341,123.576,228.6521,1.002724,S4G
8585,51.9981,306.5822,0.000172,117.4189,242.6847,12.622596,S45
8586,51.9968,351.3563,0.000217,104.8345,255.2754,12.622692,S45
8587,52.0043,308.2174,0.000207,125.9,234.2056,12.622659,S45
8588,52.0045,37.5709,0.000139,43.2051,316.8923,12.622595,S45
